"北海道",321 ,54 ,267
"青森県",16	,4 ,12	
"岩手県",187 ,11 ,176	
"宮城県",426 ,37 ,389	
"秋田県",426 ,37 ,389	
"山形県",55	,1 ,54	
"福島県",551 ,23 ,528	
"茨城県",594 ,24 ,570	
"栃木県",17	,1 ,16	
"群馬県",334 ,24 ,310	
"埼玉県",221 ,12 ,209	
"千葉県",591 ,29 ,562	
"東京都",796 ,30 ,766	
"神奈川県",200 ,16 ,184	
"新潟県",156 ,13 ,143	
"富山県",114 ,1	,113	
"石川県",11	,0 ,11	
"福井県",134 ,6	,128	
"山梨県",17	,0 ,17	
"長野県",55	,3 ,52	
"岐阜県",438 ,27 ,411	
"静岡県",1243 ,56 ,1187	
"愛知県",673 ,18 ,655	
"三重県",604 ,15 ,589	
"滋賀県",897 ,43 ,854	
"京都府",295 ,11 ,284	
"大阪府",1269 ,35 ,1234	
"兵庫県",1421 ,163 ,1258	
"奈良県",592 ,22 ,570	
"和歌山県",187 ,22 ,165	
"鳥取県",13	,1 ,12	
"島根県",315 ,26 ,289	
"岡山県",775 ,27 ,748	
"広島県",221 ,11 ,210	
"山口県",133 ,3 ,130	
"徳島県",430 ,11 ,419	
"香川県",543 ,16 ,527	
"愛媛県",253 ,16 ,237	
"高知県",61	,2 ,59	
"福岡県",227 ,18 ,209	
"佐賀県",52	,2 ,50	
"長崎県",113 ,18 ,95	
"熊本県",131 ,6 ,125	
"大分県",285 ,14 ,271	
"宮崎県",42 ,3 ,39	
"鹿児島県",167 ,14 ,153
"沖縄県",596 ,89 ,507
